augustus.gtf.introns	11857	17936	18574	66.10727029	63.83654571	64.971908
BAP.FGS.gtf.introns	12846	18462	18574	69.58076048	69.16119307	69.37097677
BAP.FGS_Br.gtf.introns	13379	16969	18574	78.84377394	72.03079574	75.43728484
BAP.FGS_Br_Fu.gtf.introns	13611	17348	18574	78.45861194	73.27985356	75.86923275
BAP.FGS_Fu.gtf.introns	13128	18412	18574	71.30132522	70.67944438	70.9903848
BAP.MGS.gtf.introns	12548	19529	18574	64.25316196	67.55679983	65.9049809
BAP.MGS_Br.gtf.introns	13094	18920	18574	69.20718816	70.49639281	69.85179048
BAP.MGS_Br_Fu.gtf.introns	13177	18884	18574	69.77864859	70.94325401	70.3609513
BAP.MGS_Fu.gtf.introns	12843	19543	18574	65.71662488	69.14504146	67.43083317
BAP.pMGS.gtf.introns	12760	18022	18574	70.80235268	68.69818025	69.75026647
BAP.pMGS_Br.gtf.introns	13343	16818	18574	79.33761446	71.83697642	75.58729544
BAP.pMGS_Br_Fu.gtf.introns	13437	16810	18574	79.93456276	72.34306019	76.13881148
BAP.pMGS_Fu.gtf.introns	13044	18008	18574	72.43447357	70.22719931	71.33083644
BAPplus.LoReAn_FGS.gtf.introns	12472	16904	18574	73.78135353	67.14762571	70.46448962
BAPplus.LoReAn_FGS_Br.gtf.introns	11958	16012	18574	74.68148888	64.38031657	69.53090273
BAPplus.LoReAn_FGS_Br_Fu.gtf.introns	12283	16221	18574	75.72282843	66.1300743	70.92645136
BAPplus.LoReAn_FGS_Fu.gtf.introns	12831	16963	18574	75.64110122	69.08043502	72.36076812
BAPplus.LoReAn_MGS.gtf.introns	12019	17805	18574	67.50351025	64.70873264	66.10612144
BAPplus.LoReAn_MGS_Br.gtf.introns	11360	17839	18574	63.68069959	61.16076236	62.42073097
BAPplus.LoReAn_MGS_Br_Fu.gtf.introns	11750	18061	18574	65.0573058	63.26047163	64.15888871
BAPplus.LoReAn_MGS_Fu.gtf.introns	12429	18138	18574	68.52464439	66.91611931	67.72038185
BAPplus.LoReAn_pMGS.gtf.introns	12234	16141	18574	75.79456044	65.86626467	70.83041255
BAPplus.LoReAn_pMGS_Br.gtf.introns	11753	15604	18574	75.32043066	63.27662324	69.29852695
BAPplus.LoReAn_pMGS_Br_Fu.gtf.introns	12161	15932	18574	76.33065528	65.47324217	70.90194873
BAPplus.LoReAn_pMGS_Fu.gtf.introns	12694	16507	18574	76.90070879	68.34284484	72.62177681
Braker.gtf.introns	11491	16230	18574	70.80098583	61.86604932	66.33351757
CodingQuarry_out_PredictedPass.gff3.introns	12021	15022	18574	80.02263347	64.71950038	72.37106692
FGnS.gtf.introns	13854	18778	18574	73.77782511	74.58813395	74.18297953
FGnS_Br.gtf.introns	13656	18253	18574	74.81509889	73.52212771	74.1686133
FGnS_Br_Fu.gtf.introns	13817	18302	18574	75.49448148	74.38893076	74.94170612
FGnS_Fu.gtf.introns	13782	17921	18574	76.90419061	74.20049532	75.55234297
FGS.gtf.introns	13653	17792	18574	76.73673561	73.5059761	75.12135585
FGS_Br.gtf.introns	13349	17126	18574	77.94581338	71.86927964	74.90754651
FGS_Br_Fu.gtf.introns	13518	17206	18574	78.56561665	72.77915366	75.67238515
FGS_Fu.gtf.introns	13780	17679	18574	77.94558516	74.18972758	76.06765637
GeneMArks.gtf.introns	11275	17547	18574	64.25599818	60.70313341	62.47956579
GeneMArks_Fu.gtf.introns	12323	17597	18574	70.02898221	66.34542909	68.18720565
maker.gtf.introns	12509	18412	18574	67.93938736	67.3468289	67.64310813
MGnS.gtf.introns	12911	19136	18574	67.46969064	69.51114461	68.49041762
MGnS_Br.gtf.introns	12848	19633	18574	65.4408394	69.17196081	67.3064001
MGnS_Br_Fu.gtf.introns	12996	19590	18574	66.33996937	69.96877355	68.15437146
MGnS_Fu.gtf.introns	13093	19304	18574	67.82532118	70.49100894	69.15816506
MGS.gtf.introns	12918	18217	18574	70.91178569	69.5488317	70.2303087
MGS_Br.gtf.introns	12577	18469	18574	68.09789377	67.71293206	67.90541291
MGS_Br_Fu.gtf.introns	12818	18549	18574	69.10345571	69.01044471	69.05695021
MGS_Fu.gtf.introns	13130	18412	18574	71.3121877	70.69021212	71.00119991
pMGnS.gtf.introns	13698	18079	18574	75.76746501	73.74825024	74.75785763
pMGnS_Br.gtf.introns	13528	17890	18574	75.6176635	72.83299235	74.22532793
pMGnS_Br_Fu.gtf.introns	13694	17981	18574	76.15816695	73.72671476	74.94244086
pMGnS_Fu.gtf.introns	13871	18256	18574	75.98049956	74.67965974	75.33007965
pMGS.gtf.introns	13453	17073	18574	78.79693083	72.42920211	75.61306647
pMGS_Br.gtf.introns	13217	16745	18574	78.93102419	71.15860881	75.0448165
pMGS_Br_Fu.gtf.introns	13441	16945	18574	79.32133373	72.36459567	75.8429647
pMGS_Fu.gtf.introns	13667	17249	18574	79.23357876	73.58135027	76.40746452
VDAG_Jr2_Annotation.v5.introns	13935	18080	18574	77.07411504	75.02422741	76.04917123
